site,plot,fwd,cwd,fwd_cwd,fwd_cwd_litter,h_ground_cnt,h_not_ground_cnt,h_per_ground,h_ng_tgi,h_ng_vari,h_l1_cnt,h_l1_per,h_l1_mean,h_l1_median,h_l1_std,h_l1_tgi,h_l1_vari,h_l1_skew,h_l1_kurt,h_l2_cnt,h_l2_per,h_l2_mean,h_l2_median,h_l2_std,h_l2_tgi,h_l2_vari,h_l2_skew,h_l2_kurt,h_l3_cnt,h_l3_per,h_l3_mean,h_l3_median,h_l3_std,h_l3_tgi,h_l3_vari,h_l3_skew,h_l3_kurt,h_l4_cnt,h_l4_per,h_l4_mean,h_l4_median,h_l4_std,h_l4_tgi,h_l4_vari,h_l4_skew,h_l4_kurt,h_l5_cnt,h_l5_per,h_l5_mean,h_l5_median,h_l5_std,h_l5_tgi,h_l5_vari,h_l5_skew,h_l5_kurt,h_GC_cnt,h_GC_per,h_GC_mean,h_GC_median,h_GC_std,h_GC_tgi,h_GC_vari,h_GC_skew,h_GC_kurt,h_US_cnt,h_US_per,h_US_mean,h_US_median,h_US_std,h_US_tgi,h_US_vari,h_US_skew,h_US_kurt,h_MS_cnt,h_MS_per,h_MS_mean,h_MS_median,h_MS_std,h_MS_tgi,h_MS_vari,h_MS_skew,h_MS_kurt,h_OS_cnt,h_OS_per,h_OS_mean,h_OS_median,h_OS_std,h_OS_tgi,h_OS_vari,h_OS_skew,h_OS_kurt,h_zmax,h_zmean,h_zsd,h_zskew,h_zkurt,h_pzabovezmean,h_pzabove2,h_zq5,h_zq10,h_zq15,h_zq20,h_zq25,h_zq30,h_zq35,h_zq40,h_zq45,h_zq50,h_zq55,h_zq60,h_zq65,h_zq70,h_zq75,h_zq80,h_zq85,h_zq90,h_zq95,h_zpcum1,h_zpcum2,h_zpcum3,h_zpcum4,h_zpcum5,h_zpcum6,h_zpcum7,h_zpcum8,h_zpcum9,per_gap,s_l1_na_per,s_l1_zero_per,s_l1_prop_mn,s_l1_prop_sd,s_l1_prop_sk,s_l1_prop_ku,s_l2_na_per,s_l2_zero_per,s_l2_prop_mn,s_l2_prop_sd,s_l2_prop_sk,s_l2_prop_ku,s_l3_na_per,s_l3_zero_per,s_l3_prop_mn,s_l3_prop_sd,s_l3_prop_sk,s_l3_prop_ku,s_l4_na_per,s_l4_zero_per,s_l4_prop_mn,s_l4_prop_sd,s_l4_prop_sk,s_l4_prop_ku,s_l5_na_per,s_l5_zero_per,s_l5_prop_mn,s_l5_prop_sd,s_l5_prop_sk,s_l5_prop_ku
BLG,101,20.27498748279475,290.9753084408072,311.250295923602,321.20433292203404,1488630,4354952,25.47461471,-5.840951799,10507.3635,166565,3.824726426,0.296540438,0.316,0.135595798,-2.203530786,17836.4201,-0.368810811,-0.96030363,283512,6.510106196,0.758978103,0.765,0.141397792,-0.353087389,8167.463583,-0.093408076,-1.124034872,300416,6.898262024,1.247869588,1.245,0.145549352,-2.293160275,10171.68433,0.021623421,-1.234762245,232021,5.327751029,1.740184052,1.735,0.144068209,-2.539642113,7964.080134,0.086350338,-1.201155149,3372293,77.43582478,9.039531764,6.505,6.056118123,-7.024969866,10547.42156,0.856066759,-0.454439112,450077,10.33483262,0.587838654,0.617,0.263156337,-1.037901553,11745.76184,-0.327980065,-0.937185271,890891,20.45696485,1.874437389,1.798,0.577859307,-1.675617901,6831.107903,0.286985938,-1.132702203,1697526,38.97921263,5.298200928,5.06,1.469806411,-7.780925255,12821.85615,0.495774072,-0.52097742,1316313,30.22566035,15.64888875,15.393,4.210088959,-7.800039363,9588.418339,0.279104325,-0.807689914,34.139,7.239681876,6.291786039,1.007445654,2.946479443,34.5350075,77.4367892,0.602,0.976,1.34,1.745,2.281,2.895,3.495,4.056,4.621,5.036,5.617,6.323,7.116,9.085,10.882,13.352,15.438,17.632,20.488,34.32264456,63.41217879,73.25350965,80.67310271,88.57696067,94.99332698,99.31228369,99.95356899,99.99970148,42.6630303,0,92.24561404,0.233863158,1.140537114,6.055715883,38.94096864,0,91.15962777,0.30889048,1.341724841,5.133230988,27.10792878,0,90.95707248,0.269123856,1.176117399,5.299942466,29.54938846,0,90.19539428,0.325990928,1.359809046,4.960834652,25.31220102,0.001439629,94.75879014,0.138334301,0.879033768,32.97096598,3545.37813
BLG,102,10.619226981240612,17.435547547054213,28.054774528294825,35.64487547957379,963826,5059746,16.00090445,-7.958891285,20956.30657,425187,8.403326965,0.290120286,0.302,0.134026269,-2.600261173,30318.80462,-0.25367713,-1.083409311,638357,12.6163843,0.753569122,0.756,0.141240982,-9.616345996,11614.98025,-0.027743713,-1.132582087,527364,10.42273664,1.235755148,1.234,0.152532134,-12.56908201,4965.982793,0.096464249,-1.339983353,458463,9.060988437,1.728653019,1.713,0.14491104,-12.03737164,9507.3385,0.229656494,-1.199448423,3009620,59.48164196,4.939961133,3.762,3.932319766,-6.936733628,26166.18685,2.985440735,9.793345108,1063544,21.01971127,0.568290074,0.589,0.265883659,-6.81143331,19092.45459,-0.234938955,-1.032783543,1857020,36.70184235,1.942036909,1.927,0.583986325,-11.37831563,10026.73421,0.095899882,-1.205209998,1852929,36.62098848,4.46938377,4.17,1.190876603,-6.35434522,35608.4032,1.2360588,1.403867756,285498,5.642536206,15.49492421,14.684,4.718342185,-0.420993881,3951.810058,0.76302288,-0.165690242,34.622,3.347343434,3.626506685,3.167225759,15.86026736,36.35893976,59.4949035,0.342,0.568,0.766,0.96,1.157,1.431,1.657,1.967,2.217,2.531,2.825,3.166,3.42,3.744,4.102,4.56,5.004,5.978,10.183,65.78424918,92.58928612,95.10826911,96.63979464,98.35283431,99.10080932,99.57248124,99.94242697,99.9968575,44.37368182,0,94.13829414,0.209452439,1.123522617,6.442348508,43.5326548,0,92.5256819,0.254172866,1.181873137,5.700879289,34.83244521,0,91.01002865,0.250472779,1.083065764,5.470704659,32.38808157,0,90.1017901,0.282358722,1.160609002,5.061532377,27.48400678,0,96.50890336,0.086595603,0.61545102,9.1580547,94.91815087
BLG,104,4.817165237577042,171.30316554257323,176.12033078015025,185.37691762428835,1201326,5273473,18.55387326,-8.304793468,3073.268211,288341,5.467762896,0.308247894,0.334,0.142283577,-15.92206608,267.4534703,-0.428687426,-1.028491452,664595,12.60260553,0.742630811,0.742,0.142916591,-3.791866604,1600.945299,0.064686403,-1.166899042,655678,12.43351393,1.245781112,1.235,0.142086383,-2.722088031,4962.257904,0.069980977,-1.159837112,487923,9.252403492,1.743405267,1.741,0.144017653,-4.523020752,8638.307574,0.032583804,-1.200113679,3176658,60.23844248,4.209767124,4.06,1.81223318,-10.29092523,2391.578381,2.80169935,18.68901853,952936,18.07036843,0.611194487,0.633,0.24533392,-7.462243048,1197.455067,-0.475508209,-0.541526905,1989130,37.7195446,1.894119616,1.841,0.582427082,-5.674518065,5443.350309,0.229034683,-1.179635182,2261796,42.89006505,4.62882951,4.503,1.141064008,-11.07702145,1873.805179,1.156619813,1.670355084,69333,1.31475026,11.58684876,10.414,3.240732596,-4.920198578,0.034941452,2.532326917,8.420933278,33.254,2.963951708,2.114053294,1.729368684,12.29631035,44.81869918,60.24301253,0.481,0.67,0.864,1.079,1.263,1.477,1.734,2.016,2.298,2.614,2.952,3.298,3.673,4.07,4.391,4.622,4.923,5.318,6.286,60.38652226,95.87978234,99.17378331,99.74599099,99.91239107,99.96122072,99.97487406,99.98098014,99.99527822,41.45545455,0.035448423,91.95320808,0.298092875,2.402756731,34.51039718,1540.004826,0.035448423,90.99610067,0.295838355,2.360202535,36.22408272,1653.615204,0.035310734,88.91242938,0.345342514,2.369388723,35.55735546,1618.417139,0.035174112,87.72423496,0.368677453,2.386261716,34.69192767,1565.722871,0.00562406,98.20826831,0.050611523,0.931700846,93.68697511,10912.77732
BLG,105,6.9546100456469775,3.9296854792095752,10.884295524856553,56.9272121525642,831683,4468027,15.69299075,-11.5379893,26307.87668,388352,8.691800654,0.28165729,0.277,0.141453253,-5.319688763,2011.811094,-0.118730271,-1.220980475,483805,10.82815748,0.741397861,0.738,0.146895221,-0.607381613,1163.330641,0.098827481,-1.241565329,680653,15.23386049,1.278240228,1.287,0.140017091,-12.90710317,28329.76365,-0.202979079,-1.02018044,592200,13.25417237,1.71372949,1.709,0.148966748,-29.2339342,11673.96512,0.182459558,-1.308801657,2319844,51.92099332,6.574108978,4.382,5.311915377,-9.935024435,38711.07974,1.779889436,2.684109421,872157,19.51995814,0.53668567,0.547,0.27034596,-2.705666562,1541.140004,-0.10467043,-1.051064292,1817520,40.67835758,1.779877853,1.628,0.532627931,-20.28921658,17813.79712,0.663129247,-0.594056036,1244037,27.84309495,4.798309897,4.402,1.462145363,-6.783142887,35611.26382,1.020233098,0.243564523,531140,11.88757364,14.93311984,13.749,4.86633111,-7.212342334,74031.45023,0.79109286,-0.307557707,34.599,3.959292563,4.766688574,2.421726209,9.268488451,29.97600507,51.9840189,0.326,0.556,0.778,1.024,1.231,1.365,1.506,1.636,1.856,2.139,2.559,2.986,3.459,3.957,4.522,5.248,6.929,10.192,14.994,65.00563605,84.98227711,90.33777801,94.05775004,96.42231697,98.11400489,99.34516173,99.83288821,99.99346415,49.73588636,0,95.4887218,0.149978518,0.87798231,6.963683012,52.31129438,0,93.30777274,0.235482747,1.15933887,5.890415204,36.80079632,0,90.95186392,0.245689468,1.067267614,5.367429056,31.05938349,0,90.99576271,0.267948446,1.146417605,5.235896703,29.24041211,0,95.29977829,0.121023397,0.738850958,7.742444263,66.82128707
BLG,106,15.56681737095494,24.034347352927533,39.601164723882476,58.556111188236436,1536246,2905980,34.582797,-4.994777831,24940.61778,68565,2.359445007,0.303058776,0.315,0.128071559,-5.636572494,1124.467953,-0.323964682,-0.927992199,142438,4.901547843,0.750177017,0.739,0.141394204,-5.09214901,793.8768549,0.08805861,-1.184098718,121246,4.172292996,1.226891782,1.214,0.143008723,-4.391507016,1441.356781,0.234187527,-1.129011123,103376,3.557354146,1.761709372,1.766,0.146015677,-3.017370675,1466.794209,-0.083147608,-1.184848419,2469034,84.96390202,10.6791683,10.612,5.525266493,-5.08039315,29145.15107,0.346919944,-0.444121695,211003,7.260992849,0.604886845,0.634,0.250356816,-5.269058325,901.3017665,-0.373526274,-0.796679413,450447,15.50069168,1.977716237,2.003,0.586386633,-3.594900692,3069.5562,-4.4e-5,-1.188253352,747229,25.71349424,5.949163932,5.893,1.751708956,-2.022992076,17926.11609,0.053729681,-1.180479232,1495980,51.47936324,14.27950884,13.344,3.814871742,-6.85643472,38442.47437,0.913738227,0.548994968,35.233,9.245174915,6.164622774,0.36335437,2.373803915,50.3782545,85.0087406,0.757,1.291,2.001,2.631,3.459,4.633,5.77,6.937,8.209,9.323,10.207,11.118,11.868,12.598,13.534,14.789,16.108,17.577,19.727,25.26049042,40.46489268,57.24870361,77.03135039,90.13503622,97.00677332,99.16956903,99.82845606,99.98988286,48.5524697,0.035498758,93.04224352,0.332516862,2.499472292,30.92885619,1315.776818,0,90.09232955,0.393277699,1.540958578,4.527107994,20.617161,0.035637919,89.13043478,0.389504633,2.460272641,32.23278671,1403.218862,0.034965035,87.93706294,0.393828671,2.437046431,32.52084741,1429.73576,0,91.43686502,0.226963518,1.014435371,5.609746561,34.39589344
BLG,107,4.4319701850976445,21.493883052477365,25.92585323757501,49.41732816641918,1192339,5178876,18.71446812,-10.48431801,15544.56343,125367,2.420737627,0.300997288,0.311,0.140813732,-8.0724149100000009,635.5347256,-0.293595435,-1.109651943,521551,10.07073736,0.743892883,0.728,0.138940992,-9.192540341,162.6826454,0.132462706,-1.149231881,454158,8.769431823,1.258868995,1.26,0.145600309,-5.68260677,-124.4386641,-0.051258429,-1.195448026,649484,12.54102241,1.794518465,1.83,0.146570725,-7.612798994,8036.741658,-0.458538644,-1.071077107,3428257,66.19693153,4.045495584,3.107,2.75155564,-11.94931634,21928.23461,3.635162261,20.48519058,646918,12.49147498,0.658063625,0.679,0.223725018,-8.975469916,254.3172061,-0.740634536,0.13200959,2695762,52.05303236,2.100747334,2.148,0.523357122,-8.994459574,17623.72108,-0.298822904,-0.865062739,1682937,32.49618257,4.749874652,3.884,1.769895253,-12.84419795,18836.85172,0.951712415,-0.563550471,153200,2.958170846,12.72441499,10.067,5.246149266,-17.15157671,7364.567658,1.623741918,1.312187614,33.135,3.095896143,2.622316424,3.463172828,23.68629014,33.33232925,66.19776183,0.632,0.866,1.155,1.44,1.705,1.905,2.035,2.191,2.333,2.486,2.628,2.796,3.022,3.26,3.507,3.81,4.525,6.736,8.092,71.15716029,89.71510906,98.45543198,99.18074618,99.50182077,99.59771062,99.68912071,99.95721065,99.99270109,41.45226515,0,96.98457223,0.214502104,1.328082325,6.351534082,39.33208543,0,92.12401996,0.363175339,1.56320328,4.66988625,21.15042316,0,88.86120996,0.34997153,1.268620793,4.259937018,18.91973873,0,84.96051687,0.395940416,1.292349507,4.036926736,17.43361758,0,97.80832078,0.053862886,0.480036718,11.39617489,146.8766291
BLG,107b,2.698199156963477,178.98119300863127,181.67939216559475,225.85604997967488,1145951,4261586,21.19173664,-7.885382269,7868.204794,71427,1.676066141,0.345228177,0.375,0.122703338,-6.514483289,-35.9840849,-0.815930429,-0.241580438,612003,14.36092103,0.800906197,0.817,0.128799288,-19.39499549,-83.96321106,-0.429947606,-0.764235397,805220,18.89484338,1.254614092,1.257,0.146538673,-12.51455094,584.1040172,-0.030298482,-1.188092295,846517,19.86389574,1.722469346,1.71,0.145233643,-4.689635818,2811.350481,0.208793723,-1.215749753,1914801,44.93165221,7.572298699,5.402,6.633061567,-3.802729897,16051.17089,1.701737302,2.340872625,683430,16.03698717,0.753282133,0.795,0.189373222,-18.04882055,-78.94879108,-1.14680068,1.193427632,2253505,52.87949134,1.728523168,1.648,0.475859839,-8.946571904,1608.071477,0.596102555,-0.343886156,761929,17.87900092,5.553946485,5.478,1.513826191,-6.76903775,20814.96998,0.182211336,-0.698094442,551104,12.93189906,16.04204755,13.34,6.535271489,7.240695989,25588.01953,0.778592621,-0.748161095,37.858,4.188100283,5.629135545,2.705728926,10.61665856,27.01177449,45.20401559,0.698,0.848,0.972,1.105,1.244,1.376,1.502,1.59,1.713,1.852,2.009,2.207,2.545,3.226,5.007,5.935,7.551,10.594,16.795,71.87116779,85.03351109,91.12215346,94.17119121,95.89377071,97.01706459,98.20998063,99.77219685,99.98685932,48.11004545,0,96.55049787,0.233325036,1.378160139,6.073491312,35.79966575,0,93.31198862,0.336545713,1.51196139,4.790729421,22.34829396,0,92.10339943,0.261689093,1.182270767,5.334040844,29.93519516,0,92.19581412,0.229169918,1.029478921,5.415378031,31.68954917,0,97.28771746,0.070920158,0.573583577,10.27429738,118.1288196
BLG,109,14.790796235574259,1.736385242275392,16.527181477849652,30.101002165209803,1322058,4262380,23.67396683,-6.057749814,17450.67188,110560,2.593856015,0.33543598,0.368,0.130530757,5.151354385,-0.074375067,-0.680409731,-0.62068243,326080,7.650186046,0.735868023,0.724,0.143911581,3.593649344,47.21436803,0.145859166,-1.188198816,259265,6.082634584,1.245452803,1.24,0.145797621,3.109685607,505.4766342,0.058865331,-1.214645353,250513,5.877303291,1.750424377,1.748,0.144057868,4.050384953,2954.540993,0.012373235,-1.191865194,3315681,77.7894275,7.855620305,7.648,4.252094361,-8.859659342,22165.82476,0.827382127,0.737153517,436640,10.24404206,0.634476106,0.646,0.223832487,3.988070078,35.24056023,-0.465217272,-0.323708858,920947,21.606403,1.934785907,1.903,0.571480331,3.042322774,6331.858417,0.146939106,-1.13713963,1708665,40.08711096,5.945934374,5.79,1.835633909,-7.511890179,21797.51616,0.040694575,-1.362723948,1195847,28.05585143,12.43193497,11.452,3.033783756,-14.65188408,26165.59507,1.617818534,3.200276912,32,6.35648847,4.695645437,0.802757135,3.378685451,45.32029054,77.79602006,0.639,0.981,1.39,1.811,2.262,2.8,3.377,4.011,4.742,5.501,6.438,7.502,8.009,8.726,9.616,10.3892,11.307,12.606,14.929,33.60039077,54.84765667,74.9138216,90.47858015,96.84676093,98.80266396,99.67785596,99.84963796,99.98923137,42.78950758,0.035385704,94.65675867,0.316762208,2.490516958,31.15836339,1331.228307,0.035663338,91.0128388,0.485103424,2.703618146,24.81306573,960.5284985,0,91.47286822,0.346381254,1.426738955,4.694480222,22.3104053,0,88.81044829,0.422541475,1.547987565,4.183944459,17.46860304,0,94.32694734,0.151399426,0.828796924,6.82747634,51.28226758
BLG,109b,21.461162273423184,51.51171390384907,72.97287617727225,103.92599884179843,1333478,3473786,27.7388136,-12.60038219,60955.98431,78457,2.258544424,0.310087322,0.327,0.131460367,1.174201407,5077.332275,-0.366070579,-0.965440576,169117,4.868377039,0.731830124,0.714,0.141500613,-3.503741971,9148.427318,0.214544323,-1.140563484,124216,3.575810369,1.248192616,1.246,0.144845979,2.312169771,13613.90743,0.020752997,-1.198764411,131400,3.782616431,1.761580913,1.763,0.146616973,1.31825905,13358.5534,-0.07615198,-1.210903607,2970504,85.51200333,8.72688254,7.11,5.54756333,-14.7217317,69468.39965,0.793640151,-0.327312457,247574,7.126921463,0.598178468,0.619,0.240120513,-2.02128661,7858.284154,-0.364338439,-0.647266869,631923,18.19118967,2.117778313,2.176,0.579337974,-3.166252817,20513.75586,-0.262626229,-1.111501986,1408051,40.53361376,5.46308836,5.251,1.715981099,-11.76717875,65142.20156,0.320390675,-1.054489907,1186146,34.1456267,14.56749579,14.189,3.821675918,-20.82451857,88619.68247,0.605363773,-0.329946767,31.219,7.617071257,5.800486528,0.836863478,2.790336098,39.94992783,85.514076,0.75,1.402,2.055,2.549,2.978,3.335,3.859,4.552,5.181,5.903,6.731,7.608,8.779,10.146,11.44,13.151,14.803,16.868,18.11,27.09256383,52.01894774,67.2504041,78.36793796,87.46239311,95.38595731,97.59842707,99.91058693,99.99441528,46.56840909,0,92.38705087,0.323713981,1.435528847,4.974238545,24.77538855,0,91.74020473,0.325432404,1.439227407,5.083775202,26.1443789,0,91.20057,0.295215533,1.282237421,5.185596068,28.01554616,0,91.95035461,0.292358156,1.28342024,5.081001663,26.70311562,0.001858425,94.43215819,0.158420989,0.980734966,30.67133298,2952.726298
BLG,110,5.435130097709303,49.14828551763558,54.58341561534488,56.95121401273945,933548,4561120,16.9900711,-3.163305383,24977.0365,247749,5.431757989,0.267870579,0.27,0.135142042,-5.762058284,715.7823318,-0.081288308,-1.12274074,706727,15.49459343,0.771306735,0.786,0.130079364,-6.845394003,6971.15991,-0.222638116,-0.837602556,514886,11.28858701,1.215414661,1.199,0.14297702,-6.089354486,2900.029733,0.322009054,-1.034611652,413929,9.075161364,1.738274475,1.726,0.138250311,-0.572587141,5687.30157,0.137391425,-1.093166079,2677698,58.7070281,5.667770656,4.353,3.923118808,-1.788905219,39202.2908,2.243066475,5.389404753,954476,20.92635142,0.640632099,0.721,0.256865093,-6.564197471,5347.479964,-0.7432683,-0.47957692,1405215,30.80855141,1.792108887,1.706,0.563206834,-1.233078485,10161.41643,0.438880787,-0.905507782,1851817,40.60004999,4.864742377,4.461,1.389117927,-2.827768946,34622.1888,0.903074707,-0.004482818,349481,7.66217508,14.29259225,13.546,3.97107951,-3.414293577,87061.34769,0.77729376,0.074179284,33.57,3.757111911,3.787604055,2.3335962,9.819861131,39.1607763,58.70928632,0.462,0.703,0.818,0.971,1.136,1.359,1.651,1.915,2.295,2.809,3.294,3.688,4.015,4.305,4.711,5.259,6.26,7.579,11.747,55.8308966,87.12496637,93.44435355,96.10119596,98.0249243,99.25364348,99.82223551,99.95875987,99.99798294,48.40946212,0,95.5602537,0.145447498,0.950264861,8.00628553,67.83260383,0,93.99571122,0.204492495,1.07910307,6.241019599,40.84967812,0,93.38103757,0.215291592,1.056569291,5.859485818,36.18877844,0,93.65526965,0.182664787,0.945178779,6.490264805,46.41948392,0,97.1905275,0.072417906,0.574585879,10.12216253,115.3373626
BLG,112,6.967697539834212,2.851436248834495,9.819133788668708,36.40943480026598,938081,5199326,15.28464708,-2.35376068,12779.06058,348220,6.697406548,0.312794073,0.345,0.138488904,-7.413363147,118.1573645,-0.55588634,-0.83663096,539833,10.38274961,0.750146267,0.749,0.143867089,1.603012615,395.1255925,0.019558033,-1.170987775,632844,12.17165456,1.277017402,1.291,0.146436936,0.445235667,5352.449166,-0.211525025,-1.183297979,778042,14.96428576,1.744259145,1.738,0.14978302,-3.904197825,11917.86092,0.050756341,-1.30015039,2900361,55.78340346,6.740676138,5.309,4.467407524,-2.677458864,18455.70039,0.980255164,0.133759875,888053,17.08015616,0.578653371,0.593,0.256310937,-1.932454714,286.5218534,-0.259589287,-0.839943687,2142660,41.21034149,1.834447568,1.779,0.502660155,-2.382618628,11693.41576,0.437100126,-0.645351476,1346839,25.90410757,5.301762983,5.158,1.588815668,-0.710834703,22087.15909,0.407929931,-0.852365487,821748,15.80489471,12.95340576,12.782,2.74821106,-5.42616581,13854.84829,1.019592675,1.457949519,31.713,4.275536179,4.350801613,1.517494395,4.615704333,32.91897834,55.78363426,0.431,0.66,0.902,1.149,1.365,1.524,1.677,1.86,2.029,2.276,2.683,3.213,3.913,4.905,5.847,7.103,9.423,11.605,13.815,59.73987707,77.17466795,85.17584349,91.76508195,98.02585381,99.32723778,99.9128346,99.98584428,99.9974612,44.28459848,0,94.24561404,0.253515789,1.262115949,5.635503059,32.60023015,0,92.19807624,0.271136445,1.209312416,5.242872314,28.83034153,0,91.57101865,0.274479914,1.145042879,4.936249512,26.02718894,0,89.48111543,0.335178256,1.274676033,4.459214366,20.722879,0.001390228,96.58004004,0.084237367,0.721895382,54.23934754,7514.892022
BLG,112b,13.786121497986937,56.83996452449611,70.62608602248305,109.4357903501701,1327351,4254135,23.78131917,-8.112115508,21626.92408,123274,2.89774537,0.310522762,0.333,0.13362152,5.797786312,-0.066230518,-0.460934872,-0.870197767,305951,7.191849812,0.757117352,0.759,0.142136158,4.000425515,-0.048215512,-0.048425433,-1.173818613,398987,9.378804387,1.260658021,1.263,0.135148652,2.768445815,2151.385556,-0.11263618,-1.011370161,186847,4.392126719,1.71265133,1.694,0.150393925,2.624149593,5708.140628,0.277018483,-1.206707912,3237531,76.10315611,9.686290949,9.219,5.083970222,-11.73254996,27823.34842,0.676021446,0.160986634,429225,10.08959518,0.628854782,0.661,0.245679629,4.516629965,-0.053389446,-0.507894139,-0.595771513,834765,19.62243793,1.725413055,1.522,0.558240322,3.060206002,3879.169869,0.715898385,-0.721962856,1314959,30.91013802,6.073710618,6.16,1.721621296,-4.893964977,28923.76484,-0.0732441,-1.161688194,1673641,39.34151126,13.59650145,12.64,3.793377195,-19.42399559,30312.42466,1.131393829,0.994181406,32.274,7.639372066,5.777014334,0.678532901,2.89441794,46.67985384,76.138698,0.658,0.994,1.274,1.528,2.174,3.056,4.081,5.137,6.13,6.976,7.943,8.895,9.745,10.481,11.439,12.586,13.642,16.113,18.113,30.87291534,46.89474933,64.51419466,81.52277062,90.07473024,96.73390453,98.67896884,99.61298521,99.9577349,42.99239394,0,91.25354108,0.408240085,1.634816284,4.378978546,18.59789342,0,91.02473498,0.407756184,1.637528232,4.341763463,18.23247141,0,90.35676439,0.369332391,1.48968916,4.574569469,20.8849197,0,90.68366985,0.324176408,1.373767737,4.935636285,24.97393291,0,93.80970717,0.173985322,0.912624786,6.545158589,47.00092909
BLG,113,5.421187597543297,6.073673900093322,11.49486149763662,29.98716882759416,1406958,3825578,26.88864444,-7.941478706,35769.79203,221071,5.778760752,0.321991758,0.336,0.114067716,2.846767288,627.78919,-0.453898749,-0.62561842,165809,4.334220868,0.720739833,0.71,0.146584008,4.793010897,-0.015040856,0.231809487,-1.182752381,131719,3.443113694,1.252238515,1.252,0.144833178,3.112620306,292.6644712,-0.007891311,-1.212430108,137942,3.605781924,1.755605291,1.758,0.145191135,2.47550395,6744.437328,-0.03816053,-1.220924331,3164535,82.7204412,9.565742174,8.714,5.772615532,-10.28358412,42891.75353,1.020258451,0.645274949,386880,10.11298162,0.492887177,0.456,0.235760199,3.680888221,358.7249021,0.35322599,-0.74990661,540149,14.11940888,1.992970269,2.002,0.562056285,1.822780337,6266.230482,-0.00457966,-1.127288638,1382595,36.14081323,5.863162107,5.636,1.804627557,-5.30976814,28958.70988,0.166453845,-1.325653082,1511452,39.5091147,14.22166348,12.287,4.853719866,-16.8279302,61714.48401,1.081479301,0.172863625,34.564,8.105495466,6.236514473,0.969373593,3.615202373,45.28690828,82.83692033,0.453,0.983,1.705,2.362,3.113,3.889,4.477,5.182,6.191,7.327,8.144,8.937,9.671,10.417,11.285,12.255,13.886,17.227,21.21,27.12334575,48.09975399,69.71630866,84.89443688,90.06090919,94.69592587,97.80749391,99.49865783,99.94808564,45.06015909,0.035198874,97.95846533,0.216356917,2.415786111,34.01963466,1501.908582,0,95.79322638,0.266944742,1.420592781,5.502498355,29.44275234,0,91.89093484,0.455761331,1.799471482,4.095319377,15.6141853,0,91.14509246,0.356589616,1.486584595,4.675853928,21.65065726,0,92.08252227,0.188937123,0.899264182,6.195787397,43.09752636
BLG,114,8.034471232151773,36.322152874450865,44.35662410660264,62.880096697625675,1274611,4343539,22.6873793,-4.262494942,12353.22322,140425,3.232962798,0.335074524,0.375,0.134661796,0.102168394,-0.046373013,-0.680096707,-0.762169707,395840,9.113305993,0.748462346,0.738,0.137187935,-1.237218983,-123.3874118,0.069821051,-1.080098296,292016,6.722997077,1.241500045,1.231,0.140900926,-1.544463117,5465.335573,0.081360819,-1.124751029,248079,5.71144866,1.747813519,1.748,0.144973069,3.162966301,2413.755786,0.014553408,-1.211723141,3265844,75.18855017,8.806190758,7.217,5.845158977,-5.625399533,15772.58052,0.926822185,-0.072798596,536265,12.34626879,0.640213654,0.67,0.227313975,-0.886490384,-91.08963856,-0.565368987,-0.271842216,1037869,23.89454774,1.955286198,1.957,0.575936757,0.647893787,5564.076569,0.035864051,-1.234691739,1517817,34.94424708,5.773059756,5.664,1.724280581,-4.946721858,10880.70359,0.123788203,-1.191732004,1250253,28.78420109,15.00816218,14.655,4.475093098,-8.95997057,25127.59861,0.443759228,-0.806996933,33.127,6.893101388,6.092269996,1.087732394,3.348822666,39.51031636,75.21917036,0.614,0.862,1.189,1.576,2.02,2.439,2.854,3.509,4.264,5.046,5.919,6.813,7.716,8.723,9.924,11.284,14.217,17.31,19.572,38.67600407,58.86463853,75.04934347,83.6816481,88.85853981,95.87388884,98.6920325,99.82910225,99.96684726,44.20174242,0,95.32810271,0.272275321,1.41963936,5.493801058,29.47119608,0,92.36453202,0.338131597,1.47471988,4.825098912,23.163473,0,90.85494043,0.267880168,1.141811131,5.221351847,29.46778623,0,89.61689939,0.273322592,1.123499185,5.358227171,31.70044518,0.001404067,93.57311679,0.169452273,0.951296069,26.30046561,2523.651709
